comment,sentiment,main_aspect,n_star,aspects_list
pin number sạc k biet bjo mới đầy hơn numbertr ram numberg thất_vọng thật tầm giá đầy máy dùng ngon hơn,Negative,BATTERY,1,"[('BATTERY', 'Negative'), ('PERFORMANCE', 'Negative'), ('PRICE', 'Negative'), ('GENERAL', 'Negative')]"
mua máy về chủ_yếu sài zalo fb thôi mạng wifi number điện_thoại khác nhắn_tin nhận nào mở máy ứng_dụng mới nhận sao gọi dc điện_thoại bấm nào mở mái mới xài dc thui còn tắt ai nhắn_tin zalo fb k biết,Negative,FEATURES,2,"[('FEATURES', 'Negative'), ('PERFORMANCE', 'Negative')]"
máy sử_dụng tốt anh_chị nào biết mởtắt nfc vnumber e mò sáng giờ biết cách mở nfc,Positive,GENERAL,4,"[('GENERAL', 'Positive')]"
cập_nhật miu number kết_nối wifi dữ_liệu cực chậm pin number tuột ngah hơn pin samsung number sạc xong tút sạc chs một tẻo mất number,Negative,FEATURES,1,"[('FEATURES', 'Negative'), ('BATTERY', 'Negative'), ('PERFORMANCE', 'Negative')]"
điện_thoại mượt chụp ảnh đẹp sạc pin nhanh nhận_diện vân tay gương_mặt nhanh nói_chung số tiền bỏ xoắn cả tuyệt_vời hiểu sao người chê nó,Positive,CAMERA,5,"[('CAMERA', 'Positive'), ('FEATURES', 'Positive'), ('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('PRICE', 'Positive'), ('GENERAL', 'Positive')]"
mới mua hôm máy xài mượt pin tạm camera chụp đẹp nhân_viên tư_vấn nhiệt_tình chị hiền chị ngộ tư_vấn nhiệt_tình cám_ơn hai chị,Positive,CAMERA,5,"[('CAMERA', 'Positive'), ('BATTERY', 'Neutral'), ('PERFORMANCE', 'Positive'), ('SER&ACC', 'Positive')]"
mới mua em pin thật trâu chế_độ chụp đêm quá vượt bật thế_hệ cũ nhân_viên ở thị_xã ninh_hòa tư_vấn nhiệt_tình ân,Positive,CAMERA,5,"[('CAMERA', 'Positive'), ('BATTERY', 'Positive'), ('SER&ACC', 'Positive')]"
thiết_kế đegpj dù pin lớn number máy gọn_gàng vựa vặn trong lòng bàn_tay máy hỗ_trợ sạc nhanh rút ngắn thời_gian sạc pin camera chụp ảnh sắc nét,Positive,CAMERA,5,"[('CAMERA', 'Positive'), ('BATTERY', 'Positive'), ('DESIGN', 'Positive')]"
đt sài ok mược hơi tốn pin nha ảnh chụp đẹp ok ai nói đt lang tui thấy hok hiện_tượng nầy nha,Positive,CAMERA,4,"[('CAMERA', 'Positive'), ('BATTERY', 'Negative'), ('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive')]"
hơn number tháng sử_dụng máy giật lang khó_chịu fb messenger zalo thôi đơ number pin tạm ổn,Negative,BATTERY,2,"[('BATTERY', 'Neutral'), ('PERFORMANCE', 'Negative')]"
mua number ngày sạc number củ sạc nóng ran bắt_nguồn vù numberpin báo ảo thất_vọng quá ai định mua bù thêm mua xr dùng quá ok luôn,Negative,BATTERY,3,"[('BATTERY', 'Negative'), ('GENERAL', 'Negative')]"
sản_phẩm tuyến đẹp hàng việt nam chất_lượng cao_sang mang hình hỏi thấp,Positive,SCREEN,5,"[('SCREEN', 'Negative'), ('DESIGN', 'Positive'), ('SER&ACC', 'Positive')]"
dùng tầm number ngày mới sạc pin báo còn numberhôm đổi number con mạng chập_chờn ngán,Negative,FEATURES,1,"[('FEATURES', 'Negative'), ('BATTERY', 'Negative'), ('GENERAL', 'Negative')]"
thất_vọng quá máy nào bóc lỗi sim vina ko chạy numberg bác nào dùng sim vina trót mua mang máy đổi nhé,Negative,FEATURES,1,"[('FEATURES', 'Negative'), ('GENERAL', 'Negative')]"
cưng smartphone cưng trứng hihihi bạn dùng cường_lực ốp dùng mới nha,Positive,DESIGN,5,"[('DESIGN', 'Positive'), ('GENERAL', 'Positive')]"
sp chất_lượng ok giá tốt trải nghiệm đầy_đủ tính_năng camera kép chụp xóa_phông hệ hành mượt pin ôn cấu_hình còn mạnh nv tư_vấn nhiệt_tình gói quà đẹp,Positive,CAMERA,5,"[('CAMERA', 'Positive'), ('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('PRICE', 'Positive'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
máy t_lỗi phần camera thư việnrất chi khó_chịu máy bằng cả tháng lương giờ lỗi vặt làm_sao còn tin_dùng,Negative,PERFORMANCE,3,"[('PERFORMANCE', 'Negative'), ('PRICE', 'Neutral'), ('GENERAL', 'Negative')]"
ad hoi sao máy tôi ms mua đk number tuần dùng nghe nhạc cắm tai_nghe nghe tswts màn_hình đi dk number đến number phút tự tịt r khoảng number phút nhạc,Negative,OTHERS,3,[]
sạc number báo đầy hay báo lỗi nóng máy việt nam luôn dởm hối_hận mua,Negative,BATTERY,1,"[('BATTERY', 'Negative'), ('PERFORMANCE', 'Negative'), ('GENERAL', 'Negative'), ('SER&ACC', 'Negative')]"
pin tuột nhanh dữ đêm tụt hơn number dù tắt hết ứng_dụng tiết_kiệm pin hiệu_quả nhất cx k máy hay phần_mềm cách khắc_phục tuột mua máy number mah numbermah,Negative,BATTERY,1,"[('BATTERY', 'Negative')]"
ai biết dòng tui khoanh màu cam nghĩa sao ko lần đầu sài xiaomi ngơ quá hic,Negative,OTHERS,5,[]
máy chơi liên_quân lâu_lâu mất_mạng hiểu luônmạng tốc_độ cao kết_nối,Negative,FEATURES,2,"[('FEATURES', 'Negative')]"
chơi liên_quân lag vl ai mia chơi lq kog mua m thấy con oppo fnumber chơi liên_quân phên hơn,Negative,PERFORMANCE,1,"[('PERFORMANCE', 'Negative')]"
dùng đc numbert mọi thứ ok mức ja đo way video đơ máy đổi sang con khác,Negative,PERFORMANCE,3,"[('PERFORMANCE', 'Negative'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive')]"
máy dùng tốt lấy máy hôm number máy dùng đầm tay tuy hơi nặng ko khó_chịu,Positive,DESIGN,5,"[('DESIGN', 'Positive'), ('GENERAL', 'Positive')]"
tất_cả chức_năng ok loa mic dỡ nhất loa mic nhại tiếng_nói ồn nghe cả tôi đổi máy mới khác thử tất_cả máy iphone number khác gọi zalo fb hay face time hết gọi thoại bình_thường k thôi number lời khuyên chân_thành ai muốn mua con iphone number iphone number pro max đừng mua hối_hận đấy k tin tôi,Negative,FEATURES,3,"[('FEATURES', 'Negative'), ('PERFORMANCE', 'Positive'), ('GENERAL', 'Negative')]"
mới mua tối hôm phân_vân trong tầm giá cuối cữa hàng trải nghiệm thấy ok pin numberk màn full hd chip number xài iphone con thấy con iphone quá già tới thời_điểm nói_chung oppo samsung hay tầm giá numbertr redmi note number ăn đức mình trải nghiệm thôi,Positive,SCREEN,5,"[('SCREEN', 'Positive'), ('PERFORMANCE', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
sản_phẩm tốt dùng oke cam chụp siêu đẹp pin tốt thấy cấu_hình cao chơi game mượt,Positive,CAMERA,5,"[('CAMERA', 'Positive'), ('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive')]"
máy mua hơn number tháng chụp ảnh gấp nó lỗi camera giờ giải_quyết nào ad,Negative,PERFORMANCE,3,"[('PERFORMANCE', 'Negative')]"
thiết_kế máy đẹp dễ bám vân tay khó lau sạch camera ok tầm giá hiệu_năng chính khiến tôi mua ios bảo_mật tốt hồi xài snumber edge hack tài_khoản facebook đổi sang ios đỡ,Positive,CAMERA,3,"[('CAMERA', 'Positive'), ('FEATURES', 'Positive'), ('PERFORMANCE', 'Positive'), ('DESIGN', 'Neutral'), ('PRICE', 'Neutral')]"
quá tốt trong tầm giá mặc_dù cụm cam dày quá dễ va_chạm gây bong tróc ảnh_hưởng đến chức_năng máy,Negative,DESIGN,5,"[('DESIGN', 'Negative'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive')]"
loa đàm_thoại number chiều thật cả number đầu tưởng người nghe cảm cúm loa ngoài nghe rè,Negative,FEATURES,3,"[('FEATURES', 'Negative')]"
sao pin tụt nhanh zay ế mới mua numberngay fb numbertieng pin tụt numberphan trăm pin kì zay,Negative,BATTERY,4,"[('BATTERY', 'Negative')]"
mua hôm number đmx ngã ba cây điệpdĩ an bình dương về update anumber hiện hài_lòng về sản_phẩm nhân_viên trang_trí hình tên tuyết dán máy nhanh đẹp miếng dán máy chị cắt tay miếng dán hãng ghé ủng_hộ dài,Positive,GENERAL,5,"[('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
máy lỗi kết_nối camera cả lô mặc_dù đổi con khác lỗi nản thật,Negative,PERFORMANCE,2,"[('PERFORMANCE', 'Negative'), ('GENERAL', 'Negative')]"
điện_thoại sài tốt lâu_lâu xuất_hiện lỗi mình hỏi về vấn_đề pin tối điện_thoại mình còn number tới sáng còn number sao,Negative,BATTERY,4,"[('BATTERY', 'Neutral'), ('PERFORMANCE', 'Negative'), ('GENERAL', 'Positive')]"
mk hỏi xíu mk mới mua dc một thanng tình_trạng pin con number liệu dc đổi number đổi number k,Negative,BATTERY,4,"[('BATTERY', 'Negative')]"
oppo anumber mức giá tầm trung cấu_hình ở tầm cao máy xài mượt chơi game tốtnhân_viên tư_vấn bán hàng nhiệt_tình tư_vấn ok,Positive,PERFORMANCE,5,"[('PERFORMANCE', 'Positive'), ('PRICE', 'Neutral'), ('SER&ACC', 'Positive')]"
sản_phẩm tuyệt_vời dù còn một_số lỗi numbercảm ứng number chạm giật numberbắt wifi khá kém còn đâu rata tuyệt_vời,Neutral,FEATURES,5,"[('FEATURES', 'Negative'), ('GENERAL', 'Positive')]"
khá lá đep dùng ổn trong tầm giá thương_hiệu mong sp nokia về cải_thiện hơn về chip ram pin tai_nghe,Neutral,FEATURES,5,"[('FEATURES', 'Negative'), ('BATTERY', 'Negative'), ('PERFORMANCE', 'Negative'), ('DESIGN', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
mình mua đc number ngày mọi thứ ok pin cực trâu mình hỏi sao cắm sạc máy hiển_thị sạc lâu pin mình rút cắm number lần máy mới hiện sạc nhanh sạc đc number mình kiểm_tra mất sạc nhanh ko biết vấn_đề ko ạ,Positive,BATTERY,4,"[('BATTERY', 'Neutral'), ('GENERAL', 'Positive')]"
vân tay kémchánthất vọng,Negative,FEATURES,3,"[('FEATURES', 'Negative'), ('GENERAL', 'Negative')]"
xài tháng đầu_tiên thấy ổn địnhqua tháng thứ number lỗi kính thưa kiểuvăng game đơ game lỗi chạm number lần ko sáng màn hìnhlỗi loa trongbh xong về lạiko đổi trả hoặc hỗ_trợ đổi máy đời khácko lẽ gởi đi bh mãiquá tệ number con máy mới,Negative,FEATURES,1,"[('FEATURES', 'Negative'), ('PERFORMANCE', 'Negative'), ('GENERAL', 'Negative'), ('SER&ACC', 'Negative')]"
đẹp bự chơi game mựt cầm dừa tay phần_mềm siêu ok hết sai chính_tả thông_cảm xinh cảm_ơn hè tui mới mua,Positive,PERFORMANCE,5,"[('PERFORMANCE', 'Positive'), ('DESIGN', 'Positive')]"
máy j dùng numberg nóng quá trời quá đất mất_mạng liên_tục up andriod number chụp ảnh mất number pin nóng nx ko thể tin đc ms mua đc number hôm đổi máy khác rùi,Negative,FEATURES,1,"[('FEATURES', 'Negative'), ('BATTERY', 'Negative'), ('PERFORMANCE', 'Negative'), ('GENERAL', 'Negative')]"
number ngày máy ngon pin_khỏe chụp hình đẹp k chê tội màn_hình hơi tối nhớ anumber pin câu hình anumber ngon,Positive,SCREEN,5,"[('SCREEN', 'Negative'), ('CAMERA', 'Positive'), ('BATTERY', 'Positive'), ('PERFORMANCE', 'Negative'), ('GENERAL', 'Positive')]"
mình dùng messenger lag hay tình trangh trêncòn oke mong phản_hồi ạ,Neutral,PERFORMANCE,4,"[('PERFORMANCE', 'Negative'), ('GENERAL', 'Positive')]"
cực_kỳ tốt hàng trung quốc chất_lượng caomua dùng đi ace ở nhà cầy game tầm giá chả máy nào kịp,Positive,PERFORMANCE,5,"[('PERFORMANCE', 'Positive'), ('DESIGN', 'Neutral'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
mình ms mua hôm nói tuyệt mình thích nhân_viên nhiệt_tình mua ở thế_giới di_động,Positive,GENERAL,5,"[('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
mới lấy thêm number câybềnrẽđẹp nhất cách phục_vụ em_gái nhân_viên tên thuý tận_tình chu_đáo,Positive,DESIGN,5,"[('DESIGN', 'Positive'), ('PRICE', 'Positive'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
mới mua number ngày cảm_nhận tốt mẫu_mã đẹp về chất_lượng tốt bền giá quá ok mong hàng vn chất_lượng cao,Positive,DESIGN,5,"[('DESIGN', 'Positive'), ('PRICE', 'Positive'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
samsung anumbers mới tệ toàn_tập lướt web chậm pin tuột nhanh chụp hình ám màu trong hình kg chức_năng thông_minh tầm giá tôi mua xong kg sử_dụng đối con oppo anumber đạt chuẩn số tầm tiền,Negative,CAMERA,1,"[('CAMERA', 'Negative'), ('FEATURES', 'Negative'), ('BATTERY', 'Negative'), ('PERFORMANCE', 'Negative'), ('PRICE', 'Neutral'), ('GENERAL', 'Negative'), ('SER&ACC', 'Negative')]"
e ko chụp màn_hình bằng phím nguồn giảm âm_lượng đk ai pk chụp màn_hình bẳng cách nào ko ạ hay máy e lỗi,Negative,OTHERS,3,[]
nhận hàng khuyến_mãi nhân_viên tgdđ cầu thị tiếp_thu ý_kiến khách_hàng điểm cộng hỏi sản_phẩm anumber hay lỗi tắt màn_hình bật trở bằng vân tay màn_hình mở khóa tối nhấn tắt mở_màn_hình mới hết xin hỏi cách khắc_phục hay lỗi sản_phẩm,Neutral,FEATURES,4,"[('FEATURES', 'Negative'), ('SER&ACC', 'Positive')]"
mới mua hơn một tuần đmx trải nghiệm sản_phẩm một thời_gian mình cảm_thấy mọi thứ ok hình_ảnh đẹp pin trâu_bò chơi game mượt chụp ảnh ban_đêm đẹp dung_lượng lớn lưu_trữ thoải_mái nhân_viên nhiệt_tình hể chê đâu mọi người rinh mình một em trải nghiệm,Positive,SCREEN,5,"[('SCREEN', 'Positive'), ('CAMERA', 'Positive'), ('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('STORAGE', 'Positive'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
hơn number tuần cảm_thấy cấu_hình mượt chơi game bật max cấu_hình chơi k lag number tí nào pin_vẻ ảo tuột ít còn về cam khỏi bàn còn bạn nào thích selfie tải app dùng đối mình máy tầm chung ngon dòy k đòi_hỏi dì thêm mấy bạn đừng dựa đánh_giá chê đủ kiểu muốn test r về ai kiu mua gấp quá roài về sài than_thở kiểu,Positive,CAMERA,5,"[('CAMERA', 'Positive'), ('BATTERY', 'Negative'), ('PERFORMANCE', 'Positive')]"
máy sài ngon ok quá tuyệt_vời chụp hình ip nào đẹp chơi liên_quân ngon quá trời luôn,Positive,CAMERA,5,"[('CAMERA', 'Positive'), ('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive')]"
điện_thoại dùng nhân_viên phục_vụ tốt 🥰 cam phần hơi bệt mình nghĩ giá tiền đc,Positive,CAMERA,5,"[('CAMERA', 'Neutral'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
máy đẹp cấu_hình đủ dùng camera vs khóa khuôn_mặt tốt tiếc máy đc update android number nhân_viên nhiệt_tình,Positive,FEATURES,5,"[('FEATURES', 'Positive'), ('PERFORMANCE', 'Neutral'), ('DESIGN', 'Positive'), ('SER&ACC', 'Positive')]"
lỗi blutoth giật lag đổi máy khác vậygiờ muốn trả máy làm_sao mua ngày number,Negative,FEATURES,1,"[('FEATURES', 'Negative')]"
mua nhiệt_tình máy lỗi bảo_hành nhân_viên hời_hợt nói_chung tẩy_chay tgdd,Negative,SER&ACC,1,"[('SER&ACC', 'Negative')]"
mình mới mua luôn máy dùng tốt_tính_năng hay chíp mạnh chơi game mượt lắm nhân_viên thương lắm chợ gạo nha cám_ơn,Positive,FEATURES,5,"[('FEATURES', 'Positive'), ('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
mới mua number ngày nói_chung tất_cả ok chạm number lần tắt máy nhạy tầm giá mình khá đòi_hỏi ủng_hộ bác vượng nhé bạn,Positive,FEATURES,5,"[('FEATURES', 'Negative'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
number sao nhân_viên còn number sao điện_thoại,Positive,GENERAL,5,"[('GENERAL', 'Neutral'), ('SER&ACC', 'Positive')]"
đêm xuống numberpin thật mới sài hơn number tháng thua điện_thoại cũ tôi mua number năm chán,Negative,BATTERY,1,"[('BATTERY', 'Negative'), ('GENERAL', 'Negative')]"
thật thất_vọng hôm ba t đến cửa_hàng nhân_viên tư_vấn kiểu về điện_thoại màn_hình độ phân_giải thấp màn_hình dán sẵn dấu vân tay dọc_ngang hộp bốc r giống hàng trưng_bày ba t lớn_tuổi r biết,Negative,SCREEN,1,"[('SCREEN', 'Negative'), ('GENERAL', 'Negative'), ('SER&ACC', 'Negative')]"
đánh_giá number tháng dùng liên_quân ngon giữ dc number fps wifi ổn tốc_độ ổn thời_gian máy chắc update android number đâu ram numbergb itel làm ae thất_vọng thời_gian đâu,Positive,FEATURES,5,"[('FEATURES', 'Positive'), ('PERFORMANCE', 'Neutral')]"
mua tháng number mới_đầu chơi tốt pin trâu nhạy bây h tôi chơi pin xuống nhanh chơi numberh mất number bây h chơi dc numberp mắt number tắt máy k chơi còn hiện_tượng xuống pin number pin chơi liên_quân đầu mượt nhung h nó lag k tính_mạng yếu thỉnh_thoảng nó giật kêu tiếng j rè rèchung sơ_bộ number tháng phả đợi xem nó nx number sao thôi,Negative,FEATURES,4,"[('FEATURES', 'Negative'), ('BATTERY', 'Negative'), ('PERFORMANCE', 'Negative')]"
quá tốt camera ngon pin hoi ít chip pin xài ko lâu lắm,Positive,CAMERA,5,"[('CAMERA', 'Positive'), ('BATTERY', 'Negative'), ('PERFORMANCE', 'Neutral'), ('GENERAL', 'Positive')]"
máy mua hồi tháng number tới h sài vẩn ổn_định tốt quá tuyệt_vời sài quá ngon vs numbertr,Positive,PRICE,5,"[('PRICE', 'Positive'), ('GENERAL', 'Positive')]"
máy gọn hiệu_năng tốt rõ_rệt hơn numbers pin khá ổn màn_hình hiện thị đẹp camera nâng_cấp tuyệt,Positive,SCREEN,5,"[('SCREEN', 'Positive'), ('CAMERA', 'Positive'), ('PERFORMANCE', 'Positive'), ('DESIGN', 'Positive')]"
lõi phần_mềm sài chán đc đổi_mới vậysài hơn tháng đâu giải raelme mới sài đầu_tiên em làm chị thất_vọng quá,Negative,PERFORMANCE,1,"[('PERFORMANCE', 'Negative'), ('GENERAL', 'Negative'), ('SER&ACC', 'Negative')]"
chất_lượng loa ngoài kém sản_phẩm ok mong vsmart tiếp_tục cải_tiến sản_phẩm,Neutral,FEATURES,4,"[('FEATURES', 'Negative'), ('GENERAL', 'Positive')]"
khá ổn giá hợp_lý tuy_nhiên gặp number số lỗi nhỏ chơi game cấu_hình đòi_hỏi cao,Negative,PERFORMANCE,4,"[('PERFORMANCE', 'Negative'), ('PRICE', 'Positive'), ('GENERAL', 'Neutral')]"
tình_yêu samsung mới mua con sử_dụng vẻ hơi thất_vọng máy mang một lời khuyên chân_thành đừng mua em tiếc tiền lắm đổi con máy thứ number gặp lỗi khởi_động pin tạm,Negative,BATTERY,2,"[('BATTERY', 'Neutral'), ('PERFORMANCE', 'Negative'), ('PRICE', 'Negative'), ('GENERAL', 'Negative')]"
máy ổn liên_quân chế_độ trung_bình numberfps nóng máy nhân_viên tgdd nhiệt_tình một nhược_điểm máy khá nặng cầm lâu mỏi tay,Positive,PERFORMANCE,4,"[('PERFORMANCE', 'Positive'), ('DESIGN', 'Negative'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
cảm_ứng nhâymàn hình nhất kèm chất lượngchơi game lag nog mấy nữanói chung_tệ,Negative,SCREEN,2,"[('SCREEN', 'Negative'), ('FEATURES', 'Negative'), ('PERFORMANCE', 'Negative'), ('GENERAL', 'Negative')]"
mình mới mua máy chất_lượng dùng kém quá màn_hình tự_dưng tối máy dùng nát lắm ko,Negative,SCREEN,1,"[('SCREEN', 'Negative'), ('GENERAL', 'Negative')]"
cập_nhật đến giờ cảm_thấy điện_thoại sạc lâu vô pin hơn dùng nhanh hết ngoài dùng cảm_thấy máy nóng đặc_biệt nói điện_thoại cập_nhật chả hiểu sao cập_nhật xong,Negative,FEATURES,3,"[('FEATURES', 'Negative'), ('BATTERY', 'Negative'), ('PERFORMANCE', 'Negative')]"
hút wifi yếu numberg yếu còn phần còn thi ok nhầm k mạng zingmvpnumber nge nhac cug k đc,Negative,FEATURES,2,"[('FEATURES', 'Negative'), ('PERFORMANCE', 'Negative'), ('GENERAL', 'Positive')]"
mình thật qá thất_vọng về anumber chơi liên_quân cảm_ứng giật_mình đổi máy mới,Negative,PERFORMANCE,3,"[('PERFORMANCE', 'Negative'), ('GENERAL', 'Negative')]"
máy dùng tốt pin dùng lâu sao phiên_bản numberg bán numberk tết mình mua pb numberg numberk sao nhỉ,Positive,BATTERY,4,"[('BATTERY', 'Positive'), ('GENERAL', 'Positive')]"
máy sài đc number tháng đầu mua đc khoản number tuần đổi máy mẫu chạy number ứng_dụng game freefire fb hoặc zalo hiện_tượng đơ máy đổi máy mới thấy zị thôi sài luôn đổi tới mệt thêm nói_chung máy chạy đa_nhiệm yếu cực_kì yếu loại game sai_lầm mua con nha ae giá thêm ít mua hàng việt ngon hơn nhiu nha,Negative,PERFORMANCE,3,"[('PERFORMANCE', 'Negative'), ('PRICE', 'Negative'), ('GENERAL', 'Negative'), ('SER&ACC', 'Negative')]"
máy chụp đêm tốt sạc nhanh pin dùng trâu_bò tội camera nó lồi dùng ốp nó lồi đặt xuống chạm cam hơi xót,Positive,CAMERA,4,"[('CAMERA', 'Positive'), ('BATTERY', 'Positive'), ('DESIGN', 'Negative')]"
mình mới mua điện_thoại sáng nay máy tốt nhân_viên phục_vụ nhiệt_tình chu_đáo,Positive,GENERAL,5,"[('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
mới mua number hôm chơi game tầm number phút nóng máy mau hết pin quá đủ nhu_cầu number ngày sử_dụng,Negative,BATTERY,3,"[('BATTERY', 'Negative'), ('PERFORMANCE', 'Negative')]"
hôm đầu xài ok cập_nhật phiên_bản cắm tai_nghe chơi game lỗi âm_thanh chập_chờn còn ok,Neutral,PERFORMANCE,4,"[('PERFORMANCE', 'Negative'), ('GENERAL', 'Positive')]"
màu_sắc_đẹp hoàn_thiện tốt cấu_hình cực mạnh pin trâu màn_hình rực_rỡ mong_đợi dùng tầm number ngày quen dùng lâu mỏi_mắt màn_hình ổn tệ lời đồn hài_lòng,Positive,SCREEN,5,"[('SCREEN', 'Neutral'), ('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('DESIGN', 'Positive'), ('GENERAL', 'Positive')]"
máy mới mua ba tháng tụt xuống number chụp hình vân tay ok thất_vọng pin,Positive,CAMERA,4,"[('CAMERA', 'Positive'), ('FEATURES', 'Positive'), ('BATTERY', 'Negative')]"
máy tầm giá_vẻ khá ngon dòng biết mua bên mình hỗ_trợ cài_đặt chplay giúp khách_hàng nhỉ muốn mua number mù công_nghệ rành đầy_đủ hết chắc tôi chọn lâu,Positive,PRICE,5,"[('PRICE', 'Neutral'), ('GENERAL', 'Positive')]"
máy dị tốt tui mới mua number ngày thấy máy chạy tốt ngon pin hao hơi nhanh tui hiểu máy màng hình numberin full hd hao hơi nhanh đúg giá mấy bác đòi_hỏi quá,Positive,SCREEN,4,"[('SCREEN', 'Positive'), ('BATTERY', 'Negative'), ('PERFORMANCE', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive')]"
máy dùng quá chán bỏ sam sung thôi bao h dung sam bỏ chíp exynos,Negative,PERFORMANCE,1,"[('PERFORMANCE', 'Negative'), ('GENERAL', 'Positive'), ('SER&ACC', 'Negative')]"
sản_phẩm tệ thường giật lag chơi game mua máy khác bắt mạng yếu máy mua nghe gọi còn dùng kém tệ hơn xaomi numberg chắc lưu ảnh nhạc google map number mới đj,Negative,FEATURES,2,"[('FEATURES', 'Negative'), ('PERFORMANCE', 'Negative'), ('GENERAL', 'Negative')]"
điện_thoại oppo anumber giá tầm ok lắm đấy pin hơi mau hết_hơi hơi buồn,Neutral,BATTERY,5,"[('BATTERY', 'Negative'), ('PRICE', 'Positive')]"
vivo đời vnumber đến hrất ưng_ý pin sài bao trâuchụp hình cũg đẹp vivo ưng màu nào bắt_mắt hơn mấy dòng khác,Positive,CAMERA,5,"[('CAMERA', 'Positive'), ('BATTERY', 'Positive'), ('DESIGN', 'Positive'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
kirin number numbergb ram numbergb rom lag sao đc lag number ngày sd gọi ok vl pin dùng đc number ngày đv mình nhe face mess zalo ytb codm pubg quái_vật hiệu_năng trong tầm giá thêm tấm nền amoled chắc chơi number mình luôn quá,Positive,PERFORMANCE,5,"[('PERFORMANCE', 'Positive'), ('STORAGE', 'Positive'), ('PRICE', 'Neutral')]"
sản_phẩm tốt máy chạy mượt vân tay cực nhạy nhân_viên phục_vụ nhiệt_tình,Positive,FEATURES,5,"[('FEATURES', 'Positive'), ('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
mọi thứ ổn bắt sóng numberg hơi yếu ở khu dân_cư k nói đi vô vùng cây_cối toàn chữ e k dc chữ hnhững dòng khác bắt sóng bthuong,Negative,FEATURES,4,"[('FEATURES', 'Negative')]"
dùng number tháng dùng tốt chơi game mượt chụp hình đẹpcho number sao luôn,Positive,CAMERA,5,"[('CAMERA', 'Positive'), ('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive')]"
máy mượt lướt web khựng liên_tục màn_hình sáng tự_nhiên tối_om tắt đi bật mấy lần mới trở về bình_thường hình dòng máy lỗi thế pin trâu dung_lượng number nhân_viên tgdđ phục_vụ tốt chuyên_nghiệp,Negative,SCREEN,1,"[('SCREEN', 'Negative'), ('BATTERY', 'Negative'), ('PERFORMANCE', 'Negative'), ('GENERAL', 'Negative'), ('SER&ACC', 'Positive')]"
bạn mình mới mua thấy ok mình thích con cơ_hội dùng thử em d,Positive,GENERAL,3,"[('GENERAL', 'Positive')]"
mua anumber tháng number cập_nhật phần_mềm vá lỗi number hôm nhận thấy vân tay cải_thiện tốt độ chính_xác cao pin bắt_đầu giảm hiệu_năng mọi thứ nói_chung tốt về camera thực tốt,Neutral,CAMERA,4,"[('CAMERA', 'Negative'), ('FEATURES', 'Positive'), ('BATTERY', 'Negative'), ('PERFORMANCE', 'Neutral'), ('GENERAL', 'Positive')]"
đầu hay tắt nguồn giờ mất kết_nối camara mở hiện đừng che phần tai_nghe trong k che j hết đc pin trâu,Neutral,BATTERY,1,"[('BATTERY', 'Positive'), ('PERFORMANCE', 'Negative')]"
sản_phẩm hút sóng yếu camara rò_rỉ điện sạc thất_vọng sản_phẩm,Negative,CAMERA,1,"[('CAMERA', 'Negative'), ('FEATURES', 'Negative'), ('GENERAL', 'Negative')]"
mới mua về number ngày đc qa tới ngày thứ number lâu_lâu lắt đứg máy quá thất_vọng,Negative,PERFORMANCE,3,"[('PERFORMANCE', 'Negative'), ('GENERAL', 'Negative')]"
sóng numberg kém quá coi fb gọi message chơi game sóng mạng quá kém,Negative,FEATURES,3,"[('FEATURES', 'Negative')]"
